epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.252,1.61413,1.42026,1.19005,0.76984,0.69247,0.74384,0.41199,1.45098,1.08059,1.18998,0.000475891,0.000475891,0.000475891
2,455.036,1.56917,1.02654,1.17327,0.77222,0.71338,0.75708,0.41844,1.44627,1.02097,1.20479,0.000914517,0.000914517,0.000914517
3,675.64,1.54544,0.96428,1.16752,0.7659,0.70968,0.7431,0.40401,1.47607,1.09186,1.2291,0.00131542,0.00131542,0.00131542
4,895.089,1.5305,0.92372,1.16373,0.81578,0.74879,0.79234,0.44533,1.43286,0.94082,1.20531,0.00125923,0.00125923,0.00125923
5,1113.99,1.51005,0.88798,1.15454,0.80817,0.76883,0.8133,0.46564,1.37968,0.85615,1.16535,0.00120265,0.00120265,0.00120265
6,1333.35,1.49901,0.86128,1.14667,0.83421,0.77546,0.82868,0.47238,1.38077,0.84061,1.17369,0.00114606,0.00114606,0.00114606
7,1552.01,1.47138,0.8356,1.14167,0.82753,0.78167,0.83068,0.48538,1.35988,0.82861,1.15884,0.00108947,0.00108947,0.00108947
8,1771.38,1.46662,0.82433,1.13368,0.85204,0.78364,0.8473,0.48745,1.36461,0.8032,1.15505,0.00103288,0.00103288,0.00103288
9,1990.37,1.44856,0.80732,1.12931,0.85914,0.79707,0.84908,0.50011,1.34853,0.79283,1.14891,0.000976293,0.000976293,0.000976293
10,2209.27,1.43703,0.79083,1.12477,0.83634,0.81551,0.85181,0.50741,1.32428,0.78143,1.13456,0.000919704,0.000919704,0.000919704
11,2428.64,1.43472,0.77552,1.12099,0.85689,0.81027,0.85937,0.51256,1.31492,0.76216,1.12944,0.000863116,0.000863116,0.000863116
12,2647.33,1.42711,0.76793,1.11866,0.86031,0.80555,0.85724,0.51099,1.32775,0.76532,1.14233,0.000806528,0.000806528,0.000806528
13,2866.33,1.42242,0.76156,1.11332,0.85863,0.8051,0.85817,0.51698,1.3111,0.75232,1.12746,0.000749939,0.000749939,0.000749939
14,3086.02,1.41272,0.74792,1.11037,0.84617,0.82985,0.86381,0.52473,1.29478,0.74081,1.1204,0.000693351,0.000693351,0.000693351
15,3305.99,1.40785,0.73961,1.10855,0.85781,0.82026,0.86505,0.52359,1.30704,0.73344,1.1264,0.000636762,0.000636762,0.000636762
16,3523.88,1.40338,0.68021,1.11382,0.86108,0.82722,0.87021,0.52757,1.29333,0.7316,1.12093,0.000580174,0.000580174,0.000580174
17,3739.64,1.38732,0.6672,1.11363,0.86434,0.82043,0.8715,0.53626,1.28732,0.7171,1.11757,0.000523586,0.000523586,0.000523586
18,3955.78,1.38204,0.65643,1.10679,0.87883,0.8219,0.87728,0.539,1.28253,0.69696,1.10961,0.000466997,0.000466997,0.000466997
19,4171.91,1.3759,0.64773,1.09989,0.8661,0.82431,0.87155,0.53776,1.27439,0.70044,1.10493,0.000410409,0.000410409,0.000410409
20,4388.29,1.36605,0.63785,1.09797,0.86928,0.8303,0.87521,0.53982,1.27156,0.69279,1.10366,0.00035382,0.00035382,0.00035382
21,4604.51,1.35788,0.63115,1.09369,0.87377,0.83339,0.87871,0.54282,1.26809,0.68233,1.10295,0.000297232,0.000297232,0.000297232
22,4820.72,1.34696,0.62012,1.08817,0.88129,0.83051,0.87938,0.54423,1.26562,0.68486,1.10075,0.000240644,0.000240644,0.000240644
23,5036.24,1.34177,0.61121,1.08535,0.87376,0.83858,0.88075,0.54528,1.2623,0.67314,1.09785,0.000184055,0.000184055,0.000184055
24,5252.1,1.33359,0.60499,1.08017,0.86725,0.84366,0.88295,0.54699,1.26402,0.6704,1.09804,0.000127467,0.000127467,0.000127467
25,5467.81,1.32749,0.59613,1.07846,0.86511,0.84344,0.88111,0.54724,1.25854,0.66663,1.09522,7.08784e-05,7.08784e-05,7.08784e-05
