epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.32,1.62427,1.66883,1.21665,0.78826,0.71515,0.7653,0.41649,1.42952,1.14845,1.1627,0.00333024,0.00333024,0.00333024
2,450.286,1.55442,1.12081,1.16178,0.80178,0.70394,0.76404,0.41899,1.44974,1.08438,1.18529,0.00653164,0.00653164,0.00653164
3,668.09,1.56306,1.0526,1.17142,0.77389,0.69995,0.74563,0.39649,1.48802,1.08154,1.23959,0.00960103,0.00960103,0.00960103
4,885.319,1.57367,1.02099,1.185,0.81299,0.72003,0.78474,0.4411,1.44539,0.97976,1.20917,0.009406,0.009406,0.009406
5,1102.92,1.54718,0.95876,1.17522,0.80618,0.73924,0.79971,0.44902,1.41394,0.90899,1.19066,0.009208,0.009208,0.009208
6,1320.11,1.53348,0.92107,1.1651,0.81948,0.76851,0.81479,0.46601,1.41307,0.87403,1.19154,0.00901,0.00901,0.00901
7,1536.5,1.50385,0.88722,1.15725,0.82799,0.7697,0.82322,0.47209,1.38194,0.86191,1.18374,0.008812,0.008812,0.008812
8,1755.04,1.49582,0.87074,1.15043,0.84104,0.76967,0.83673,0.47995,1.37674,0.82732,1.17244,0.008614,0.008614,0.008614
9,1972.5,1.48039,0.85213,1.14505,0.85344,0.78129,0.84002,0.48813,1.37387,0.82519,1.16506,0.008416,0.008416,0.008416
10,2188.83,1.46738,0.83609,1.14003,0.83744,0.79781,0.84794,0.50201,1.34331,0.80237,1.15448,0.008218,0.008218,0.008218
11,2406.35,1.46509,0.82148,1.13591,0.85237,0.80205,0.85462,0.50999,1.33582,0.78325,1.14739,0.00802,0.00802,0.00802
12,2623.51,1.45766,0.81238,1.13413,0.85128,0.79525,0.84847,0.49882,1.34328,0.79491,1.15387,0.007822,0.007822,0.007822
13,2840.38,1.45507,0.8091,1.12944,0.8393,0.80592,0.85085,0.50926,1.32952,0.77712,1.14564,0.007624,0.007624,0.007624
14,3058.85,1.44656,0.79558,1.12674,0.8388,0.81826,0.85581,0.51503,1.31684,0.76884,1.13632,0.007426,0.007426,0.007426
15,3278.82,1.44449,0.78991,1.12427,0.8681,0.79655,0.85987,0.51377,1.33213,0.74767,1.14127,0.007228,0.007228,0.007228
16,3496.93,1.42962,0.77578,1.11978,0.85527,0.80994,0.86178,0.52039,1.30624,0.74802,1.122,0.00703,0.00703,0.00703
17,3713.47,1.4322,0.77346,1.11987,0.85902,0.81518,0.86471,0.52187,1.30241,0.74201,1.12716,0.006832,0.006832,0.006832
18,3929.44,1.4288,0.76766,1.11665,0.86229,0.82462,0.87161,0.52903,1.30677,0.72722,1.12814,0.006634,0.006634,0.006634
19,4145.27,1.41984,0.75703,1.11466,0.85908,0.82588,0.87218,0.52761,1.29711,0.7267,1.12431,0.006436,0.006436,0.006436
20,4361.5,1.4104,0.75571,1.11097,0.86686,0.82374,0.87244,0.5278,1.29581,0.71922,1.11796,0.006238,0.006238,0.006238
21,4579.69,1.40969,0.7464,1.10898,0.86567,0.82451,0.87074,0.53122,1.28938,0.71333,1.11808,0.00604,0.00604,0.00604
22,4797.39,1.40762,0.74456,1.10743,0.86978,0.82109,0.87383,0.53503,1.28722,0.70962,1.12078,0.005842,0.005842,0.005842
23,5013.36,1.40503,0.74211,1.10879,0.86776,0.82213,0.87354,0.5358,1.28305,0.70433,1.11304,0.005644,0.005644,0.005644
24,5229.76,1.39968,0.73327,1.10516,0.87008,0.82752,0.87571,0.5388,1.27661,0.70009,1.10908,0.005446,0.005446,0.005446
25,5448.57,1.39727,0.73246,1.10522,0.86789,0.83217,0.88099,0.541,1.27484,0.69271,1.10774,0.005248,0.005248,0.005248
26,5667.94,1.3935,0.72402,1.10164,0.86385,0.83646,0.87819,0.53998,1.26893,0.69221,1.10754,0.00505,0.00505,0.00505
27,5887.69,1.3918,0.71798,1.09602,0.8647,0.83213,0.87798,0.54098,1.27214,0.68752,1.10745,0.004852,0.004852,0.004852
28,6106.97,1.38613,0.71491,1.09872,0.86088,0.84294,0.88445,0.54636,1.26608,0.68368,1.1047,0.004654,0.004654,0.004654
29,6325.27,1.38194,0.70911,1.09431,0.86486,0.83673,0.88187,0.54368,1.26764,0.68554,1.10438,0.004456,0.004456,0.004456
30,6542.99,1.36981,0.70438,1.09492,0.86798,0.8375,0.8808,0.54626,1.26286,0.68341,1.10565,0.004258,0.004258,0.004258
31,6762.43,1.37906,0.7048,1.09156,0.87794,0.82923,0.88051,0.54639,1.26134,0.67883,1.09992,0.00406,0.00406,0.00406
32,6981.58,1.36855,0.7037,1.09309,0.8608,0.84455,0.88198,0.54757,1.2601,0.676,1.1003,0.003862,0.003862,0.003862
33,7198.88,1.36703,0.6927,1.09152,0.87436,0.83578,0.88442,0.54939,1.25777,0.67461,1.09994,0.003664,0.003664,0.003664
34,7414.62,1.36531,0.68924,1.08847,0.86671,0.84716,0.88663,0.55022,1.2549,0.67031,1.09745,0.003466,0.003466,0.003466
35,7631.04,1.36347,0.68756,1.08724,0.86346,0.85148,0.88751,0.5511,1.25587,0.66634,1.09765,0.003268,0.003268,0.003268
36,7847.47,1.35842,0.68215,1.08565,0.87631,0.83553,0.88617,0.5513,1.25101,0.66416,1.09484,0.00307,0.00307,0.00307
37,8063.77,1.35134,0.67355,1.07882,0.87689,0.83806,0.8864,0.55196,1.24906,0.66113,1.09153,0.002872,0.002872,0.002872
38,8279.88,1.35417,0.67301,1.08128,0.87158,0.8438,0.88728,0.55345,1.25053,0.662,1.09444,0.002674,0.002674,0.002674
39,8496,1.35255,0.66986,1.08216,0.87505,0.83672,0.88528,0.55362,1.24867,0.66094,1.09275,0.002476,0.002476,0.002476
40,8711.93,1.34209,0.66043,1.0772,0.87669,0.83644,0.88619,0.55437,1.24646,0.65992,1.09171,0.002278,0.002278,0.002278
41,8926.93,1.33928,0.60989,1.08374,0.87697,0.83825,0.88713,0.55557,1.24487,0.65758,1.09103,0.00208,0.00208,0.00208
42,9141.08,1.33469,0.60462,1.08147,0.87244,0.83996,0.8869,0.55738,1.24285,0.65571,1.08913,0.001882,0.001882,0.001882
43,9354.83,1.3278,0.59931,1.07823,0.87331,0.83842,0.88662,0.55714,1.24216,0.65357,1.0881,0.001684,0.001684,0.001684
44,9568.37,1.32397,0.59277,1.07594,0.87665,0.83982,0.88712,0.55819,1.2412,0.65339,1.08754,0.001486,0.001486,0.001486
45,9782.87,1.31982,0.58825,1.07624,0.87598,0.83796,0.8873,0.55913,1.24104,0.65173,1.08796,0.001288,0.001288,0.001288
46,9996.4,1.31505,0.58491,1.07429,0.87463,0.8407,0.88887,0.55908,1.24082,0.65018,1.08829,0.00109,0.00109,0.00109
